control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed
0.291656,0.0996422,-0.00427432,0.0693489,-0.00177977,-0.0021674,0.126483,-0.00185296,0.0186457,-0.00286946,0.000699737,-0.000117224,7.50477e-05,nan,nan,nan,-0.00286946,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143473,0.00611423,-0.0615298,-4.96689e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.303531,0.099615,-0.00428453,0.0693951,-0.00181222,-0.002262,0.126437,-0.00184666,0.0186449,-0.002869,0.000699737,-0.000117224,7.50477e-05,nan,nan,nan,-0.00286946,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143473,0.00609344,-0.0615272,-4.95138e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.311568,0.0995878,-0.00429609,0.06947,-0.00184432,-0.00238536,0.126414,-0.00184037,0.0186441,-0.00286852,0.000699737,-0.000117224,7.50477e-05,nan,nan,nan,-0.00286852,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143426,0.00606237,-0.0615231,-4.86193e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.323547,0.0995338,-0.00432369,0.069709,-0.00190727,-0.00264167,0.126439,-0.00182786,0.0186424,-0.00286757,0.000699737,-0.000117224,7.50477e-05,nan,nan,nan,-0.00286852,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143426,0.00603143,-0.0615191,-4.90496e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.331556,0.0995029,-0.00433104,0.0695263,-0.00194161,-0.00275752,0.126248,-0.00182163,0.0186416,-0.00286708,0.000699737,-0.000117224,7.50477e-05,nan,nan,nan,-0.00286708,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143354,0.00601086,-0.0615164,-4.88944e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.343674,0.0994722,-0.00433984,0.0693782,-0.0019756,-0.00284485,0.126086,-0.0018152,0.0186408,-0.00286668,0.000699968,-0.000117195,7.50509e-05,nan,nan,nan,-0.00286708,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143354,0.00597907,-0.0615124,-4.78566e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.351674,0.0994417,-0.00434991,0.0692642,-0.00200908,-0.00292275,0.125951,-0.00180879,0.01864,-0.00286627,0.000699968,-0.000117195,7.50509e-05,nan,nan,nan,-0.00286627,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143314,0.00595794,-0.0615097,-4.7691e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.363667,0.0994088,-0.0043548,0.068895,-0.00204416,-0.00296627,0.125645,-0.00180239,0.0186392,-0.00286586,0.000699968,-0.000117195,7.50509e-05,nan,nan,nan,-0.00286627,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143314,0.00593653,-0.061507,-4.74172e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.371655,0.0993437,-0.00436731,0.06827,-0.00211169,-0.0029822,0.125184,-0.00178925,0.0186376,-0.00286518,0.00070076,-0.000117217,7.49172e-05,nan,nan,nan,-0.00286518,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143259,0.00590401,-0.0615031,-4.76414e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.488626,0.0993113,-0.00437447,0.0680118,-0.00214442,-0.00294977,0.125008,-0.0017827,0.0186368,-0.00286484,0.00070076,-0.000117217,7.49172e-05,nan,nan,nan,-0.00286518,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143259,0.0058716,-0.0614991,-4.69113e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
