control_time_s,local_pos_timestamp,local_pos_timestamp_sample,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,local_pos_z_deriv,attitude_timestamp,attitude_timestamp_sample,roll,pitch,yaw,angular_velocity_timestamp,angular_velocity_timestamp_sample,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_timestamp,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_timestamp,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_timestamp,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust_timestamp,hover_thrust,hover_thrust_valid,takeoff_status_timestamp,takeoff_state,takeoff_tilt_limit,land_detected_timestamp,landed,ground_contact,maybe_landed,thrust_sp_timestamp,thrust_sp_x,thrust_sp_y,thrust_sp_z,torque_sp_timestamp,torque_sp_x,torque_sp_y,torque_sp_z,actuator_timestamp,actuator_timestamp_sample,actuator_motor_0,actuator_motor_1,actuator_motor_2,actuator_motor_3,actuator_motor_4,actuator_motor_5,actuator_motor_6,actuator_motor_7,actuator_motor_8,actuator_motor_9,actuator_motor_10,actuator_motor_11,rate_ctrl_status_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,livox_imu_time_s,livox_imu_stamp_sec,livox_imu_stamp_nanosec,livox_imu_orientation_x,livox_imu_orientation_y,livox_imu_orientation_z,livox_imu_orientation_w,livox_imu_angular_velocity_x,livox_imu_angular_velocity_y,livox_imu_angular_velocity_z,livox_imu_linear_acceleration_x,livox_imu_linear_acceleration_y,livox_imu_linear_acceleration_z
0.529728,1782994843444469,1782994843444469,0.0739158,0.00173632,-0.00531618,-0.0119841,0.00825629,0.0275853,0.00923636,1782994843448469,1782994843448469,-0.0157763,0.0266242,-0.00367883,1782994843448469,1782994843448469,0.000727653,0.000313012,1.30409e-05,1782994843444469,nan,nan,nan,-0.00367889,nan,nan,nan,0,0,100,0,1782994843444469,0.999998,-0,0,-0.00183944,1782994843448469,0.0520521,-0.0878573,-0.000588196,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843448469,0,0,-0.001,1782994843448469,0.00769789,-0.0132259,-0.000297583,1782994843448469,1782994843448469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843448469,0,0,0,23.304,23,304000000,0.00169797,-1.94685e-06,5.12268e-05,0.999999,0.00222376,-6.42944e-05,-1.33946e-06,0.000603383,0.0518209,9.80657
0.549821,1782994843468469,1782994843468469,0.0740698,0.00163429,-0.00525991,-0.01168,0.00829023,0.0276639,0.00921829,1782994843460469,1782994843460469,-0.0157711,0.026622,-0.00367864,1782994843468469,1782994843468469,0.000727671,0.000313012,1.30409e-05,1782994843460469,nan,nan,nan,-0.00367864,nan,nan,nan,0,0,100,0,1782994843460469,0.999998,-0,0,-0.00183932,1782994843468469,0.0520234,-0.0878455,-0.000587964,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843468469,0,0,-0.001,1782994843468469,0.00769501,-0.0132241,-0.000298227,1782994843468469,1782994843468469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843468469,0,0,0,23.328,23,328000000,0.00170803,-1.49163e-06,5.12481e-05,0.999999,0.00190426,-5.81681e-05,-2.14555e-06,0.000404744,0.0530123,9.80657
0.569797,1782994843484469,1782994843484469,0.0741625,0.00157549,-0.00519492,-0.0114409,0.00811214,0.0277394,0.00925944,1782994843480469,1782994843480469,-0.0157622,0.0266188,-0.00367834,1782994843488469,1782994843488469,0.000727669,0.000313012,1.30409e-05,1782994843484469,nan,nan,nan,-0.00367828,nan,nan,nan,0,0,100,0,1782994843484469,0.999998,-0,0,-0.00183914,1782994843488469,0.0519934,-0.0878357,-0.000587385,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843488469,0,0,-0.001,1782994843488469,0.00769075,-0.0132226,-0.000298696,1782994843488469,1782994843488469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843488469,0,0,0,23.344,23,344000000,0.00171257,-1.14616e-06,5.12615e-05,0.999999,0.0016856,-5.04293e-05,-1.31659e-06,0.000259851,0.0529368,9.80657
0.589857,1782994843508469,1782994843508469,0.0742876,0.00149649,-0.00505769,-0.0111019,0.00779705,0.0278833,0.00939276,1782994843496469,1782994843496469,-0.0157548,0.0266167,-0.00367809,1782994843500469,1782994843500469,0.000727669,0.000313012,1.30409e-05,1782994843508469,nan,nan,nan,-0.00367792,nan,nan,nan,0,0,100,0,1782994843508469,0.999998,-0,0,-0.00183896,1782994843508469,0.0519622,-0.087828,-0.000587144,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843508469,0,0,-0.001,1782994843508469,0.00768613,-0.0132214,-0.000299014,1782994843500469,1782994843500469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843508469,0,0,0,23.368,23,368000000,0.00171619,-5.7089e-07,5.12782e-05,0.999999,0.00142487,-4.76457e-05,-2.48451e-06,5.44558e-05,0.0517584,9.80656
0.609792,1782994843524469,1782994843524469,0.0743623,0.00145028,-0.00494053,-0.010907,0.00760382,0.0279979,0.00952572,1782994843520469,1782994843520469,-0.0157432,0.0266143,-0.00367774,1782994843528469,1782994843528469,0.000727669,0.000313012,1.30409e-05,1782994843524469,nan,nan,nan,-0.00367768,nan,nan,nan,0,0,100,0,1782994843524469,0.999998,-0,0,-0.00183884,1782994843528469,0.0519293,-0.0878225,-0.000586562,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843528469,0,0,-0.001,1782994843528469,0.00768126,-0.0132205,-0.000299218,1782994843528469,1782994843528469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843528469,0,0,0,23.384,23,384000000,0.00171668,-1.89427e-07,5.1269e-05,0.999999,0.00119396,-4.74053e-05,-6.02439e-06,-0.000107822,0.0499364,9.80657
0.740358,1782994843548469,1782994843548469,0.0744597,0.00139098,-0.00472757,-0.0107177,0.00748976,0.0281952,0.00978497,1782994843536469,1782994843536469,-0.015735,0.0266132,-0.00367752,1782994843548469,1782994843548469,0.000727669,0.000313012,1.30409e-05,1782994843548469,nan,nan,nan,-0.00367735,nan,nan,nan,0,0,100,0,1782994843548469,0.999998,-0,0,-0.00183867,1782994843548469,0.0518949,-0.0878191,-0.000586299,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843548469,0,0,-0.001,1782994843548469,0.00767613,-0.0132199,-0.000299334,1782994843548469,1782994843548469,0,0.002,1.86265e-09,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843548469,0,0,0,23.408,23,408000000,0.00171485,3.7022e-07,5.12648e-05,0.999999,0.000955997,-5.00157e-05,-3.96269e-06,-0.000294008,0.0468416,9.80656
0.760313,1782994843564469,1782994843564469,0.0745253,0.00135305,-0.00458189,-0.0105865,0.00745965,0.0283133,0.00994247,1782994843568469,1782994843568469,-0.015718,0.026612,-0.00367708,1782994843568469,1782994843568469,0.000727669,0.000313012,1.30409e-05,1782994843564469,nan,nan,nan,-0.00367713,nan,nan,nan,0,0,100,0,1782994843564469,0.999998,-0,0,-0.00183856,1782994843568469,0.0518597,-0.0878169,-0.000585733,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843568469,0,0,-0.001,1782994843568469,0.00767082,-0.0132196,-0.000299381,1782994843568469,1782994843568469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843568469,0,0,0,23.424,23,424000000,0.00171225,6.81302e-07,5.12567e-05,0.999999,0.000834545,-5.4597e-05,-5.03751e-06,-0.000425187,0.0437734,9.80655
0.780178,1782994843580469,1782994843580469,0.0746492,0.00127892,-0.00455013,-0.0104017,0.00746128,0.0282979,0.0098428,1782994843588469,1782994843588469,-0.0157084,0.0266093,-0.00367678,1782994843588469,1782994843588469,0.000727669,0.000313012,1.30409e-05,1782994843580469,nan,nan,nan,-0.0036769,nan,nan,nan,0,0,100,0,1782994843580469,0.999998,-0,0,-0.00183845,1782994843588469,0.0518279,-0.0878082,-0.000585504,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843588469,0,0,-0.001,1782994843588469,0.00766598,-0.0132185,-0.000299372,1782994843588469,1782994843588469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843580469,0,0,0,23.448,23,448000000,0.00170691,1.06969e-06,5.12339e-05,0.999999,0.000713759,-6.21705e-05,-5.78692e-06,-0.000564393,0.0391704,9.80655
0.800261,1782994843604469,1782994843604469,0.0748178,0.00118409,-0.00446084,-0.0101259,0.00747025,0.0283661,0.00983175,1782994843600469,1782994843600469,-0.0157025,0.0266079,-0.0036766,1782994843608469,1782994843608469,0.000727669,0.000313012,1.30409e-05,1782994843604469,nan,nan,nan,-0.00367654,nan,nan,nan,0,0,100,0,1782994843604469,0.999998,-0,0,-0.00183827,1782994843608469,0.0517955,-0.0878005,-0.00058491,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843608469,0,0,-0.001,1782994843608469,0.00766116,-0.0132172,-0.000299323,1782994843608469,1782994843608469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843608469,0,0,0,23.464,23,464000000,0.0017028,1.27166e-06,5.12159e-05,0.999999,0.000676615,-6.78272e-05,-5.94123e-06,-0.000630725,0.0359531,9.80654
0.820312,1782994843628469,1782994843628469,0.0749681,0.00110669,-0.00432297,-0.00979852,0.00740343,0.0284723,0.00991064,1782994843620469,1782994843620469,-0.0156925,0.0266059,-0.00367631,1782994843628469,1782994843628469,0.000727669,0.000313012,1.30409e-05,1782994843628469,nan,nan,nan,-0.00367619,nan,nan,nan,0,0,100,0,1782994843628469,0.999998,-0,0,-0.0018381,1782994843628469,0.0517618,-0.0877949,-0.000584647,0,0,-0.001,0.072752,0.00278554,-1,-0.00367738,Idle,,nan,nan,nan,1782994843252469,2,0.20944,1782994842772469,1,1,1,1782994843628469,0,0,-0.001,1782994843628469,0.00765615,-0.0132163,-0.000299235,1782994843628469,1782994843628469,0,0.002,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,1782994843628469,0,0,0,23.488,23,488000000,0.00169649,1.47315e-06,5.11912e-05,0.999999,0.000679391,-7.75503e-05,-5.52222e-06,-0.000684308,0.0315603,9.80653
