t,cur_e0, cur_e1, cur_e2, cur_e3,cur_wx, cur_wy, cur_wz,cur_x, cur_y, cur_z,cur_vx, cur_vy, cur_vz,t_pred,input_1, input_2, input_3, input_4,pred_e0, pred_e1, pred_e2, pred_e3,pred_wx, pred_wy, pred_wz,pred_x, pred_y, pred_z,pred_vx, pred_vy, pred_vz
0,0.721695,-0.0108039,-0.0109617,0.69204,-0.000396241,0.00228673,0.000179382,0.000278706,0.0272576,0.00613455,0.00784718,-0.00257383,0.0132317,0.02,0,0.00686757,-0.0191171,-0.961675,0.721695,-0.0108132,-0.0109548,0.69204,0.126888,0.0412975,4.94787,0.000357178,0.0272319,0.00626687,0.00784718,-0.00257383,0.111298
0.02,0.721695,-0.0108039,-0.0109576,0.69204,0.000269555,0.000821982,-0.000220089,0.000301773,0.027232,0.00618742,0.0078475,-0.0027206,0.0135503,0.04,0,0.00562685,-0.0151522,-0.941087,0.721696,-0.0108058,-0.0109538,0.692039,0.104703,0.00768449,5.11369,0.000380248,0.0272048,0.00632293,0.0078475,-0.0027206,0.111617
0.04,0.721693,-0.0107937,-0.0109636,0.692042,0.000402718,-0.00277329,0.000312549,0.00032644,0.0272058,0.0062437,0.00805079,-0.00270674,0.0137609,0.06,0,0.00719426,-0.0120558,-0.918851,0.721692,-0.0107827,-0.0109722,0.692043,0.0717473,-0.00449617,5.24299,0.000406948,0.0271787,0.00638131,0.00805079,-0.00270674,0.111827
0.06,0.721696,-0.0107794,-0.0109546,0.69204,0.00373167,-0.000775908,-0.00101902,0.000352608,0.0271812,0.00630278,0.0080857,-0.00240647,0.013876,0.08,0.0219548,0.0223292,0.0219548,-0.928293,0.721699,-0.0107632,-0.0109445,0.692037,-0.201067,-0.115659,5.18769,0.000433465,0.0271571,0.00644154,0.00808857,-0.00240651,0.111849
0.08,0.721701,-0.0107831,-0.0109461,0.692035,0.000402716,0.00228672,-0.00221675,0.00037831,0.0271594,0.0063635,0.00787576,-0.00214957,0.0139509,0.1,0.0217054,-0.0145826,0.0217054,-0.931836,0.721709,-0.0107894,-0.0109366,0.692026,0.0144043,-0.318131,5.16648,0.000457067,0.0271379,0.00650301,0.0078786,-0.00214961,0.111925
0.1,0.721704,-0.0107839,-0.0109383,0.692032,0.000802191,0.00162093,-0.00128464,0.000403729,0.0271386,0.0064265,0.00789125,-0.0020947,0.0140911,0.12,0,0.00570881,-0.0128733,-0.945518,0.721708,-0.0107865,-0.0109298,0.692027,0.0929874,-0.00410273,5.083,0.000482642,0.0271177,0.00656741,0.00789125,-0.0020947,0.112158
0.12,0.721693,-0.0107525,-0.0109496,0.692043,-0.000795692,-0.00130854,-0.00155096,0.000505002,0.0270652,0.00667507,0.00779174,-0.00204246,0.0149443,0.14,0.0458078,0.0236483,0.0458078,-0.934658,0.721698,-0.0107508,-0.0109572,0.692038,-0.338531,-0.244763,5.13944,0.00058292,0.0270448,0.00682451,0.00779772,-0.00204253,0.112816
0.14,0.721676,-0.0107312,-0.0109454,0.692061,0.00121649,-0.00117742,4.54166e-05,0.000549088,0.0270017,0.00675001,0.00813954,-0.00213963,0.0155142,0.16,0,-0.0326274,-0.0211721,-0.930043,0.721676,-0.0107228,-0.0109454,0.692062,0.355659,-0.170245,5.174,0.000630483,0.0269803,0.00690515,0.00813954,-0.00213963,0.113581
0.16,0.721672,-0.0107295,-0.0109437,0.692065,1.67807e-05,0.000151854,0.0015204,0.00055657,0.0269873,0.00676043,0.0081503,-0.00219892,0.01534,0.18,0,0.0182023,-0.045146,-0.936853,0.721667,-0.0107301,-0.010943,0.692071,0.197157,0.250687,5.13217,0.000638074,0.0269653,0.00691383,0.0081503,-0.00219892,0.113407
0.18,0.721674,-0.0107609,-0.0109828,0.692062,-0.0134322,-0.000913378,-0.000477024,0.00057031,0.0269579,0.00681887,0.00744267,-0.00210244,0.0179789,0.2,0,-0.0110512,-0.00112035,-0.929548,0.721675,-0.0108062,-0.0110326,0.69206,0.119952,-0.167119,5.18431,0.000644737,0.0269369,0.00699866,0.00744267,-0.00210244,0.116045
