t,cur_e0, cur_e1, cur_e2, cur_e3,cur_wx, cur_wy, cur_wz,cur_x, cur_y, cur_z,cur_vx, cur_vy, cur_vz,t_pred,input_1, input_2, input_3, input_4,pred_e0, pred_e1, pred_e2, pred_e3,pred_wx, pred_wy, pred_wz,pred_x, pred_y, pred_z,pred_vx, pred_vy, pred_vz
0,0.726938,-0.00723245,-0.00812655,0.686617,0.00015431,-0.000974253,-0.00272849,-0.003057,0.0285049,0.391146,-0.00239333,0.00594288,0.194927,0.02,1,-0.00414931,-0.00156972,-0.957535,0.726947,-0.00722843,-0.00812966,0.686607,0.0783244,-0.0878078,5.00632,-0.00308094,0.0285643,0.393095,-0.00230079,0.00594562,0.28874
0.02,0.726946,-0.00721495,-0.00811797,0.686609,0.0049462,-0.00177074,-0.000331955,-0.00303515,0.028496,0.390753,-0.00241359,0.00619582,0.194706,0.04,1,-0.00202951,-0.00973251,-0.934012,0.726947,-0.00719088,-0.00810743,0.686608,0.105309,-0.0316502,5.17563,-0.00305929,0.028558,0.3927,-0.0023212,0.00619862,0.288518
0.04,0.726953,-0.00719727,-0.00810485,0.686601,0.00574517,-0.000971756,-0.00019882,-0.0030126,0.0284902,0.390349,-0.00188724,0.00646259,0.194715,0.06,1,0.0117739,-0.00211463,-0.926985,0.726954,-0.00717305,-0.00808867,0.686601,-0.0183394,-0.000712931,5.21583,-0.00303147,0.0285548,0.392296,-0.00179504,0.00646542,0.288527
0.06,0.726961,-0.00718787,-0.008093,0.686594,0.00401411,0.000226642,-0.000198809,-0.00298585,0.0284875,0.390001,-0.00109514,0.00677875,0.194569,0.08,1,-0.0140546,-0.0142539,-0.919297,0.726962,-0.00717405,-0.0080784,0.686593,0.196947,-0.0726123,5.25364,-0.0029968,0.0285553,0.391946,-0.00100307,0.00678157,0.288382
0.08,0.726962,-0.00718491,-0.0080813,0.686592,0.002815,0.00129175,0.00179905,-0.00295397,0.028487,0.389707,-0.000331577,0.00676628,0.194493,0.1,1,0.0331418,-0.0367795,-0.945057,0.726956,-0.00717918,-0.00806687,0.686599,0.0518023,0.320726,5.09272,-0.00295728,0.0285547,0.391652,-0.000239595,0.00676905,0.288305
0.1,0.726969,-0.00717146,-0.00807597,0.686585,0.00361395,-0.00163773,-0.000198331,-0.00291813,0.028487,0.389468,0.000247253,0.0067179,0.194696,0.12,1,0.0200461,-0.0367662,-0.930552,0.72697,-0.00715269,-0.00806953,0.686585,0.124613,0.247041,5.18929,-0.00291566,0.0285542,0.391415,0.000339124,0.00672072,0.288508
0.12,0.727002,-0.00716579,-0.00806989,0.68655,-0.000513954,-0.00217037,-0.000731582,-0.00274438,0.0284881,0.389037,0.00219343,0.00643958,0.195061,0.14,1,0.0536916,-0.0200896,-0.932465,0.727005,-0.00716017,-0.00807957,0.686547,-0.162179,0.335255,5.17083,-0.00272244,0.0285525,0.390987,0.00228523,0.00644239,0.288873
0.14,0.727034,-0.00718194,-0.00807499,0.686516,-0.000913428,-0.000439306,-0.000332107,-0.00251368,0.0284873,0.38924,0.00194009,0.00550054,0.196012,0.16,1,0.0437588,-0.0134292,-0.928321,0.727035,-0.00718374,-0.00807973,0.686515,-0.141987,0.241266,5.20051,-0.00249428,0.0285423,0.3912,0.00203201,0.00550329,0.289824
0.16,0.727036,-0.00717903,-0.0080689,0.686514,0.00174973,0.00035964,0.00113264,-0.002475,0.0284838,0.389405,0.00166264,0.00523733,0.196114,0.18,1,0.0528886,0.0105063,-0.921563,0.727032,-0.00717395,-0.00806154,0.686518,-0.32791,0.151617,5.23209,-0.00245837,0.0285362,0.391366,0.00175452,0.00524005,0.289927
0.18,0.727021,-0.00719131,-0.00805997,0.68653,-0.000380797,0.000625959,0.00366352,-0.00237377,0.0284739,0.390157,0.0011,0.00520229,0.196839,0.2,1,-0.0582915,-0.0240864,-0.939122,0.727008,-0.00719499,-0.00805887,0.686543,0.512445,-0.255866,5.12029,-0.00236277,0.028526,0.392125,0.00119189,0.00520489,0.290651
