t,cur_e0, cur_e1, cur_e2, cur_e3,cur_wx, cur_wy, cur_wz,cur_x, cur_y, cur_z,cur_vx, cur_vy, cur_vz,t_pred,input_1, input_2, input_3, input_4,pred_e0, pred_e1, pred_e2, pred_e3,pred_wx, pred_wy, pred_wz,pred_x, pred_y, pred_z,pred_vx, pred_vy, pred_vz
0.3,0.999886,-0.0150435,-0.000418944,-0.00151765,0.000347766,-0.00189465,0.000207455,0.0459159,-0.00588846,-0.0115741,-0.00191381,0.00267043,0.0183517,0.32,28.4226,0.00274703,0.020274,-0.656201,0.999886,-0.0150418,-0.000428404,-0.00151647,2.7577,6.11326,-130.861,0.0458968,-0.00586176,-0.0113905,-0.00181801,-0.000968242,-0.0044741
0.32,0.999886,-0.0150152,-0.000440853,-0.00154508,-5.21503e-05,-0.00109529,-0.000325197,0.0458546,-0.00563424,-0.0116258,-0.00219126,0.00267609,0.0181291,0.34,28.3109,-0.000876217,-0.0031034,-0.646712,0.999886,-0.0150154,-0.000446353,-0.00154662,2.05921,1.40938,-129.028,0.0458326,-0.00560748,-0.0114445,-0.00209064,-0.000941477,-0.00422186
0.34,0.999886,-0.0149917,-0.000415727,-0.00154773,0.00154575,-0.00069582,-0.000857831,0.045818,-0.00551194,-0.0116137,-0.00261266,0.00276477,0.0181061,0.36,31.5515,-0.00454175,-0.0101878,-0.533913,0.999886,-0.014984,-0.000419282,-0.00155197,1.58551,-0.354747,-106.491,0.0457919,-0.0054843,-0.0114327,-0.00250727,-0.00126057,-0.0180285
0.36,0.999886,-0.0149857,-0.000413985,-0.00155525,0.0014126,0.000502603,-0.000990974,0.0458029,-0.00546977,-0.0116052,-0.00270814,0.00293284,0.0178048,0.38,33.1267,-0.0119358,-0.00853483,-0.591552,0.999887,-0.0149786,-0.000411558,-0.00156024,-0.0171138,0.145268,-118.01,0.0457758,-0.00544044,-0.0114271,-0.00259801,-0.00129177,-0.0250299
0.38,0.999887,-0.0149764,-0.000408335,-0.00157136,0.00141259,0.000236281,0.000473758,0.0457687,-0.00538664,-0.0115809,-0.00301562,0.00270245,0.017647,0.4,34.156,0.0103374,-0.0239269,-0.536345,0.999887,-0.0149694,-0.00040713,-0.00156901,4.55778,-3.09343,-107.015,0.0457385,-0.00535962,-0.0114045,-0.00290377,-0.00165073,-0.0295659
0.4,0.999887,-0.0149703,-0.000409779,-0.00160224,0.00181207,0.00063576,-0.000990984,0.0456768,-0.00517227,-0.0114531,-0.00283914,0.00279227,0.017904,0.42,35.9997,0.0238537,0.0194194,-0.484275,0.999887,-0.0149612,-0.000406689,-0.00160724,7.34222,5.42298,-96.4674,0.0456484,-0.00514435,-0.0112741,-0.00272095,-0.00179402,-0.0371512
0.42,0.999887,-0.0149773,-0.000411636,-0.00160844,-0.00191636,-0.00122845,-0.000857817,0.0455933,-0.00497254,-0.0112542,-0.00246632,0.00296425,0.0179658,0.44,32.4251,-0.00871084,-0.0188008,-0.450736,0.999886,-0.0149869,-0.000417827,-0.00161264,0.900177,-2.33005,-89.871,0.0455686,-0.0049429,-0.0110746,-0.00235939,-0.00116858,-0.021885
0.44,0.999886,-0.0149759,-0.000410271,-0.00161336,0.000346366,0.00036964,-0.000857979,0.0455795,-0.00493292,-0.0112049,-0.00225988,0.00300568,0.0182182,0.46,35.6922,-0.00679884,0.00283024,-0.4186,0.999886,-0.0149741,-0.00040849,-0.00161767,1.32516,1.89962,-83.3789,0.0455569,-0.00490287,-0.0110227,-0.00214261,-0.00154312,-0.0355288
0.46,0.999887,-0.0149768,-0.000388225,-0.00160634,-0.000452586,0.00116859,0.000739914,0.0455426,-0.00481483,-0.0110359,-0.00208542,0.00301446,0.0183548,0.48,36.2191,0.00157831,0.0101718,-0.420887,0.999886,-0.014979,-0.000382324,-0.00160273,2.99663,3.37297,-83.8162,0.0455217,-0.00478469,-0.0108523,-0.00197318,-0.00160176,-0.0376334
0.48,0.999887,-0.0149661,-0.000378478,-0.00162263,0.00234256,0.00236802,-0.00338803,0.0455516,-0.00470486,-0.0109024,-0.00194238,0.00292947,0.018373,0.5,36.0243,0.00636114,0.0111432,-0.383494,0.999887,-0.0149544,-0.000366912,-0.00163974,4.00354,3.45402,-76.3328,0.0455322,-0.00467557,-0.0107187,-0.0018338,-0.00165865,-0.0367866
